Mã FN,Tên ch?c nang,Module,MoSCoW,Ði?m UCP,Sprint,BE ph? trách,FE ph? trách,Tr?ng thái API,Ngày b?t d?u,Ngày hoàn thành,Ghi chú
FN01,Ðang ký tài kho?n,Xác th?c & Tài kho?n,Must,8,Sprint 1,member 1,Qu?c Tr?ng,Chua n?i,24/09/2026,29/09/2026,"Validate email RFC, m?t kh?u 8+ ký t?, OTP kích ho?t"
FN02,Ðang nh?p h? th?ng,Xác th?c & Tài kho?n,Must,8,Sprint 1,member 1,Qu?c Tr?ng,Chua n?i,24/09/2026,29/09/2026,"JWT token (Access + Refresh), khóa 15p n?u sai 5 l?n"
FN03,Ðang xu?t,Xác th?c & Tài kho?n,Must,8,Sprint 1,member 1,Qu?c Tr?ng,Chua n?i,24/09/2026,29/09/2026,"Thu h?i token, xóa session storage client"
FN04,Quên / Ð?t l?i m?t kh?u,Xác th?c & Tài kho?n,Must,8,Sprint 1,member 1,Qu?c Tr?ng,Chua n?i,24/09/2026,29/09/2026,"Link reset qua email h?t h?n 15p, dùng 1 l?n duy nh?t"
FN05,Xem h? so cá nhân,Xác th?c & Tài kho?n,Must,8,Sprint 1,member 1,Qu?c Tr?ng,Chua n?i,24/09/2026,29/09/2026,"Ch? chính ch?/admin xem, ?n m?t kh?u bam & token"
FN06,Ch?nh s?a h? so cá nhân,Xác th?c & Tài kho?n,Must,8,Sprint 1,member 1,Qu?c Tr?ng,Chua n?i,24/09/2026,29/09/2026,"Email không d?i, avatar <= 5MB, validate SÐT VN"
FN07,Khóa tính nang khi chua dang nh?p,Xác th?c & Tài kho?n,Must,8,Sprint 1,member 1,Qu?c Tr?ng,Chua n?i,24/09/2026,29/09/2026,"Route guard, luu redirect_uri, chuy?n hu?ng v? login"
FN08,Xem Feed trang ch?,N?i dung (Blog/Video),Must,8,Sprint 1,member 2,Qu?c Tr?ng,Chua n?i,24/09/2026,29/09/2026,"Ch? hi?n bài APPROVED, phân trang 10 bài/l?n"
FN11,L?c bài vi?t theo danh m?c,N?i dung (Blog/Video),Must,8,Sprint 1,member2,Qu?c Tr?ng,Chua n?i,24/09/2026,29/09/2026,"L?c theo danh m?c món chay, d? khó, th?i gian n?u"
FN12,Xem chi ti?t bài vi?t/video,N?i dung (Blog/Video),Must,8,Sprint 1,member2,Qu?c Tr?ng,Chua n?i,24/09/2026,29/09/2026,"C?ng view khi xem >= 15s, hi?n thu vi?n ?nh/video, công th?c"
FN13,Ðang bài vi?t/video m?i,N?i dung (Blog/Video),Must,13,Sprint 1,member2,Qu?c Tr?ng,Chua n?i,24/09/2026,29/09/2026,"B?t bu?c tiêu d?/?nh/bu?c n?u, m?c d?nh tr?ng thái PENDING"
FN14,Ch?nh s?a bài vi?t dã dang,N?i dung (Blog/Video),Must,8,Sprint 1,member2,Qu?c Tr?ng,Chua n?i,24/09/2026,29/09/2026,Ch? tác gi?/admin s?a; s?a n?i dung quay v? PENDING
